school,applicant
南洋理工大学电力工程,"南京师范大学, 电气工程及其自动化, 大四，GPA85.72，雅思6.5"
南洋理工大学电力工程,"华北电力大学, 电气工程及其自动化, 三年以上工作经验，GPA86.57，雅思6.5"
新加坡国立大学工业4.0理学硕士,"哈尔滨工业大学, 工业工程, 已毕业，GPA81.07，雅思7.0"
南洋理工大学电力工程,"河海大学, 电气工程, 大四，GPA82.54，雅思6.5"
南洋理工大学电力工程,"华北电力大学, 电气工程及其自动化, 大四，GPA88.94，雅思7.0"
新加坡国立大学工业系统工程,"天津大学, 工程管理, 大四，GPA3.69，雅思7.0"
新加坡国立大学土木工程,"天津大学, 工程管理, 大四，GPA3.69，雅思7.0"
新加坡国立大学机械工程,"北京航空航天大学, 飞行器设计(航天), 大四，GPA3.41，雅思8.0"
新加坡国立大学机械工程,"大连理工大学, 过程装备与控制工程, 大四，GPA86.2，雅思6.5"
新加坡国立大学电子工程,"北京理工大学, 电气电子, 已毕业，GPA86，雅思7.0"
新加坡国立大学机械工程,"华南理工大学, 车辆工程, 三年工作经验，GPA78.61，雅思6.0"
新加坡国立大学工业系统工程,"东南大学, 物流管理, 大四，GPA86.29，雅思6.5"
新加坡国立大学安全、健康与环境技术,"华东理工大学, 环境工程, 大四，GPA81.14，雅思6.5"
新加坡国立大学电子工程,"澳门科技大学, 计算机技术及其应用, 已毕业，GPA85，雅思6.0"
新加坡国立大学电子工程,"南京大学, 微电子科学与工程, 已毕业，GPA87，雅思7.5，GRE323"
新加坡国立大学工业4.0理学硕士,"华南理工大学, 能源动力工程, 大四，GPA3.4，雅思7.5"
新加坡国立大学工业4.0理学硕士,"东南大学, 物流管理, 大四，GPA86.29，雅思6.5"
南洋理工大学信号处理,"吉林大学, 电子信息科学与技术, 大四，GPA88.01，雅思6.5"
南洋理工大学信号处理,"东北大学, 通信工程, 大四，GPA86，雅思7.5"
南洋理工大学材料科学与工程硕士,"北京科技大学, 材料, 大四，GPA89，雅思7.0"
新加坡国立大学应用地理信息系统,"中山大学, 地理信息科学, 大四，GPA3.7，雅思6.5"
新加坡国立大学工业4.0理学硕士,"哈尔滨工业大学, 通信工程, 两年工作经验，GPA80.87，雅思7.0"
新加坡国立大学化学工程,"广东以色列理工学院, 化学工程与工艺, 大四，GPA87.7，雅思6.5"
新加坡国立大学材料科学工程,"北京化工大学, 高分子材料工程, 大四，GPA3.28，雅思6.0"
新加坡国立大学材料科学工程,"西北工业大学, 高分子材料, 大四，GPA80.45，雅思7.0"
新加坡国立大学工业系统工程,"天津大学, 工程管理, 一年工作经验，GPA3.53，雅思7.0"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理（新国航）, 大四，GPA85.93，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 国际航运管理, 大四，GPA3.54，雅思6.5"
新加坡国立大学技术与创新管理,"哈尔滨工业大学, 通信工程, 两年工作经验，GPA80.87，雅思7.0"
新加坡国立大学土木工程,"东南大学, 道路桥梁, 一年工作经验，GPA86.4，雅思6.0"
新加坡国立大学环境工程,"大连理工大学, 环境生态工程, 大四，GPA87.7，雅思6.5"
新加坡国立大学工业系统工程,"东北大学, 工业工程, 大四，GPA3.66，雅思6.5"
新加坡国立大学环境工程,"江南大学, 环境工程, 大四，GPA84.12，雅思6.5"
新加坡国立大学工业系统工程,"澳门科技大学, 供应链, 大四，GPA3.52，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理（航运管理）, 大四，GPA90，雅思7.0"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理&英语, 大四，GPA89.83，雅思7.0"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理&英语, 大四，GPA3.91，雅思7.5"
新加坡国立大学工业系统工程,"北京工业大学, 信息管理与信息系统, 已毕业，GPA85.53，雅思6.0"
新加坡国立大学材料科学工程,"北京科技大学, 材料, 大四，GPA89，雅思7.0"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 物流管理, 大四，GPA85.89，雅思7.5"
新加坡国立大学应用地理信息系统,"北京林业大学, 地理信息系统, 大四，GPA84.18，雅思6.5"
新加坡国立大学计算机,"南京大学, 计算机科学与技术, 一年工作经验，GPA83.6，托福95"
新加坡国立大学计算机,"天津大学, 自动化, 已毕业，GPA3.36，托福102，GRE322"
新加坡国立大学机械工程,"山东大学（威海）, 机械自动化, 已毕业，GPA3.6，雅思7.0"
新加坡国立大学电子工程,"澳大利亚国立大学, 通信工程, 刚毕业，GPA78"
新加坡国立大学电子工程,"天津大学, 自动化, 毕业，GPA3.36，托福102，GRE322"
新加坡国立大学电子工程,"华中科技大学, 电气工程及其自动化, 毕业，GPA3.48，雅思6"
南洋理工大学绿色电子,"西安交通大学, 电气工程及其自动化, 大四，GPA83.45，雅思6.5"
