school,applicant
悉尼大学经济学硕士,"西南交通大学, 经济学, 一年工作经验，GPA81.22，雅思6"
莫纳什大学银行与金融学硕士,"山东大学, 机械工程, 大四，GPA74.77"
悉尼大学商学硕士,"西南交通大学, 经济学, 一年工作经验，GPA81.22"
莫纳什大学商业（商业、道德与社会/商业化/普通/信息技术/法律与商业责任/人力资本管理/市场营销/项目管理/定量商业分析/风险管理/供应链管理/可持续性）硕士,"广州商学院, 国贸, 已毕业，GPA85"
莫纳什大学金融数学硕士,"辽宁大学, 数学与应用数学, 毕业半年，GPA78.38"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"皇家墨尔本理工大学, 经济金融, 已毕业，GPA73.19"
阿德莱德大学国际贸易与发展硕士,"广州商学院, 国贸, 已毕业，GPA85"
西澳大学商学（会计/商业信息与物流管理/经济学/电子商务/雇佣关系/金融/人力资源管理/国际商务/管理学/市场营销）硕士,"广州商学院, 国贸, 已毕业，GPA85"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"西南财经大学（211）, 信息管理与信息系统, 工作2年，GPA80.54，雅思6.5"
悉尼大学商学硕士,"韦仕敦大学, 会计, 大四，GPA72.8"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"澳门科技大学, 葡萄牙语, 大四，GPA78.5，雅思7.0"
昆士兰大学商学硕士,"江西财经大学, 会计, 已毕业，GPA86，雅思6"
新南威尔士大学专业会计硕士,"韦仕敦大学, 会计, 大四，GPA70"
莫纳什大学商业（商业、道德与社会/商业化/普通/信息技术/法律与商业责任/人力资本管理/市场营销/项目管理/定量商业分析/风险管理/供应链管理/可持续性）硕士,"韦仕敦大学, 会计, 大四，GPA70"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"上海大学, 工商管理, 大四，GPA83，雅思6.5"
悉尼大学物流与供应链管理硕士,"大连海事大学, 海事管理, 应届毕业生，GPA81.9"
